epoch,step,test/Multiclass_Accuracy,test/Multiclass_F1_Score,test/Multiclass_Jaccard_Index,test/Multiclass_Jaccard_Index_Micro,test/loss,test/multiclassaccuracy_Mining,test/multiclassaccuracy_Non_mining,test/multiclassjaccardindex_Mining,test/multiclassjaccardindex_Non_mining,train/Multiclass_Accuracy,train/Multiclass_F1_Score,train/Multiclass_Jaccard_Index,train/Multiclass_Jaccard_Index_Micro,train/loss,train/multiclassaccuracy_Mining,train/multiclassaccuracy_Non_mining,train/multiclassjaccardindex_Mining,train/multiclassjaccardindex_Non_mining,val/Multiclass_Accuracy,val/Multiclass_F1_Score,val/Multiclass_Jaccard_Index,val/Multiclass_Jaccard_Index_Micro,val/loss,val/multiclassaccuracy_Mining,val/multiclassaccuracy_Non_mining,val/multiclassjaccardindex_Mining,val/multiclassjaccardindex_Non_mining
4,64,,,,,,,,,,,,,,0.10738259553909302,,,,,,,,,,,,,
4,64,,,,,,,,,,,,,,,,,,,0.9289175271987915,0.9289175271987915,0.677049994468689,0.8672698140144348,0.2235850691795349,0.7216024398803711,0.9455013871192932,0.42919620871543884,0.9249037504196167
4,64,,,,,,,,,,0.9691432118415833,0.9691432118415833,0.6995972990989685,0.9401336908340454,,0.6479093432426453,0.9811545610427856,0.43078920245170593,0.9684053659439087,,,,,,,,,
5,65,,,,,,,,,,,,,,0.22314471006393433,,,,,,,,,,,,,
5,66,,,,,,,,,,,,,,0.27679333090782166,,,,,,,,,,,,,
5,67,,,,,,,,,,,,,,0.14121444523334503,,,,,,,,,,,,,
5,68,,,,,,,,,,,,,,0.09545363485813141,,,,,,,,,,,,,
5,69,,,,,,,,,,,,,,0.1653478741645813,,,,,,,,,,,,,
5,70,,,,,,,,,,,,,,0.09583263099193573,,,,,,,,,,,,,
5,71,,,,,,,,,,,,,,0.18726001679897308,,,,,,,,,,,,,
5,72,,,,,,,,,,,,,,0.08312749117612839,,,,,,,,,,,,,
5,73,,,,,,,,,,,,,,0.14771810173988342,,,,,,,,,,,,,
5,74,,,,,,,,,,,,,,0.13070297241210938,,,,,,,,,,,,,
5,75,,,,,,,,,,,,,,0.15100739896297455,,,,,,,,,,,,,
5,76,,,,,,,,,,,,,,0.12206554412841797,,,,,,,,,,,,,
5,77,,,,,,,,,,,,,,0.02672976814210415,,,,,,,,,,,,,
5,77,,,,,,,,,,,,,,,,,,,0.9268094301223755,0.9268094301223755,0.6751143932342529,0.8636019825935364,0.23228652775287628,0.7383367419242859,0.9418860673904419,0.42765355110168457,0.9225752949714661
5,77,,,,,,,,,,0.9581709504127502,0.9581709504127502,0.6751521229743958,0.9197007417678833,,0.7523121237754822,0.9658682942390442,0.3932991623878479,0.9570050835609436,,,,,,,,,
6,78,,,,,,,,,,,,,,0.11983887106180191,,,,,,,,,,,,,
6,79,,,,,,,,,,,,,,0.173249289393425,,,,,,,,,,,,,
6,80,,,,,,,,,,,,,,0.12133653461933136,,,,,,,,,,,,,
6,81,,,,,,,,,,,,,,0.21755099296569824,,,,,,,,,,,,,
6,82,,,,,,,,,,,,,,0.17078010737895966,,,,,,,,,,,,,
6,83,,,,,,,,,,,,,,0.20841866731643677,,,,,,,,,,,,,
6,84,,,,,,,,,,,,,,0.22461971640586853,,,,,,,,,,,,,
6,85,,,,,,,,,,,,,,0.18143294751644135,,,,,,,,,,,,,
6,86,,,,,,,,,,,,,,0.14986948668956757,,,,,,,,,,,,,
6,87,,,,,,,,,,,,,,0.04903260990977287,,,,,,,,,,,,,
6,88,,,,,,,,,,,,,,0.10210718959569931,,,,,,,,,,,,,
6,89,,,,,,,,,,,,,,0.14707264304161072,,,,,,,,,,,,,
6,90,,,,,,,,,,,,,,0.08794952929019928,,,,,,,,,,,,,
6,90,,,,,,,,,,,,,,,,,,,0.9426645040512085,0.9426645040512085,0.6805506944656372,0.8915472030639648,0.2479749321937561,0.5626901388168335,0.9730600118637085,0.4209303557872772,0.9401710033416748
6,90,,,,,,,,,,0.9685621857643127,0.9685621857643127,0.7021771669387817,0.9390408396720886,,0.6758499145507812,0.9795070886611938,0.43657705187797546,0.9677772521972656,,,,,,,,,
7,91,,,,,,,,,,,,,,0.24381165206432343,,,,,,,,,,,,,
7,92,,,,,,,,,,,,,,0.1288105547428131,,,,,,,,,,,,,
7,93,,,,,,,,,,,,,,0.2249249666929245,,,,,,,,,,,,,
7,94,,,,,,,,,,,,,,0.15237082540988922,,,,,,,,,,,,,
7,95,,,,,,,,,,,,,,0.0914887860417366,,,,,,,,,,,,,
7,96,,,,,,,,,,,,,,0.06436751782894135,,,,,,,,,,,,,
7,97,,,,,,,,,,,,,,0.08597102761268616,,,,,,,,,,,,,
